,id,prompt,A,B,C,D,E,answer,context
134,134,What is the historical significance of Krekenava in Lithuania?,Krekenava played a critical role in the development of the local agricultural sector in the 19th century.,Krekenava gained prominence as a key manufacturing center during the industrial revolution.,Krekenava is known for its rich cultural heritage and traditional folk festivals.,Krekenava is renowned for being the birthplace of several prominent Lithuanian politicians and artists.,Krekenava is recognized for its role as a major trading hub in the region during the medieval era.,E,Krekenava   is a town population 1375 in Panevys district municipality in northern Lithuania on the bank of Nevis. History From 1409 it was the center of Upyt poviat the first wooden church built by Vytautas the Great in 1419. Nearby Krekanava is a birthplace of the painter Roman Szwoynicki 18451915. In July and August 1941 an Einsatzgruppen of Lithuanian nationalists massacred the Jewish residents of the town about 50 grownups and 60 children. Along with Jews they also shot socalled Communists and Soviet activists in all about 190 people. The massacre took place in a ditch between the old and new cemeteries.  Economy  1975 is a year of beginning of JSC Krekenavos Agrofirma activities a company which employs over 900 people. Krekenavos agrofirma allocates its investments for the two priority fields  improvement of the quality of its activities and production expansion.  Gallery  ImageAkmenine tvora prie namo.jpgStone wall near a house ImageLithuania Krekenava Church.jpgChurch ImageLaipteliaiibaznycia.JPGStairs to the church ImageKrekenavai 600.jpgKrekenava 600 year jubilee ImageNamassodugatveje.jpgOld house in Sod st.
135,135,"What is the significance of Leslie Grace's song ""Cómo Duele El Silencio""?","It is a song recorded by Dominican-American singer Leslie Grace, released on May 18, 2015, by Sony Music Latin.","It is a song recorded by Leslie Grace, with a music video that premiered on June 18, 2015.","It is a song recorded by Leslie Grace and Luis Coronel, released on September 18, 2015.","It is a song recorded by Leslie Grace, with a Banda version released on September 18, 2015.","It is a song recorded by Leslie Grace, featuring Luis Coronel, and premiered on the Telemundo news show Al Rojo Vivo on June 18, 2015.",E,Cmo Duele El Silencio How Silence Hurts is a song recorded by DominicanAmerican singer Leslie Grace. it was released on May 18 2015 by Sony Music Latin. The music video premiered on June 18 2015 on the Telemundo news show Al Rojo Vivo. It was released online the next day. On September 18 2015 she released a Banda version featuring MexicanAmerican singer Luis Coronel.  Charts  Chart 2015 Peak position See also List of numberone Billboard Tropical Songs of 2015  References  Category2015 singles Category2015 songs CategoryBachata songs CategorySpanishlanguage songs CategorySony Music Latin singles
136,136,"What is significant about Lucie Cadiès' record in the 1,000 meters?","Lucie Cadiès broke the world record in the 1,000 meters in 1922, but her record was not recognized by the International Association of Athletics Federations.","Lucie Cadiès broke the world record in the 1,000 meters in 1922, which was officially recognized by the International Association of Athletics Federations.","Lucie Cadiès broke the world record in the 1,000 meters in 1918, but her record was not recognized by the International Association of Athletics Federations.","Lucie Cadiès broke the world record in the 1,000 meters in 1918, which was officially recognized by the International Association of Athletics Federations.","Lucie Cadiès broke the world record in the 1,000 meters in 1918, but her record is still under review by the International Association of Athletics Federations.",C,Lucie Cadis married name was Verdy born 1898 was a French athlete who specialized in the middle distance races. Champion of France in the 1000 m in 1918 she beat the World record in the 1000 meters. Her record is not yet recognized as such by the International Association of Athletics Federations which began to ratify female records for the 1 000 meters in 1922 with the time of Georgette Lenoir.  Biography   Records  Personal Bests Event Performance Location Date 800 meters 2 min 53 s 4 1921 1000 meters 3 min 30 s 6 NR 1921 1500 meters 5 min 54 s 6 NR 1918  Notes and references  Category1898 births CategoryYear of death missing CategoryFrench female middledistance runners
137,137,What is the kurdaitcha man?,The kurdaitcha man is a mythical creature believed to roam the Australian outback and bring misfortune to those who cross its path.,The kurdaitcha man is a shamanic figure who holds the role of both healer and executioner among the Arrernte people in Central Australia.,The kurdaitcha man is a ceremonial figure who is responsible for performing healing rituals in Aboriginal communities.,The kurdaitcha man is a spiritual leader who guides Aboriginal communities in matters of law and justice.,The kurdaitcha man is a type of totem animal worshipped by the Arrernte people in Central Australia.,B,A kurdaitcha or kurdaitcha man also spelt gadaidja cadiche kadaitcha karadji or kaditcha Arrernte orthography kwertatye is a type of shaman and traditional executioner amongst the Arrernte people an Aboriginal group in Central Australia. The name featherfoot is used to denote the same figure by other Aboriginal peoples. The kurdaitcha may be brought in to punish a guilty party by death. The word may also relate to the ritual in which the death is willed by the kurdaitcha man known also as bonepointing. The word may also be used by Europeans to refer to the shoes worn by the kurdaitcha which are woven of feathers and human hair and treated with blood. Background Among traditional Indigenous Australians there is no such thing as a belief in natural death. All deaths are considered to be the result of evil spirits or spells usually influenced by an enemy. Often a dying person will whisper the name of the person they think caused their death. If the identity of the guilty person is not known a magic man will watch for a sign such as an animal burrow leading from the grave showing the direction of the home of the guilty party. This may take years but the identity
138,138,What was Pavel Alekseevich Nekrasov's occupation?,Pavel Alekseevich Nekrasov was a Russian biologist and a Rector of the Imperial University of Moscow.,Pavel Alekseevich Nekrasov was a Russian astronomer and a Rector of the Imperial University of Moscow.,Pavel Alekseevich Nekrasov was a Russian chemist and a Rector of the Imperial University of Moscow.,Pavel Alekseevich Nekrasov was a Russian physicist and a Rector of the Imperial University of Moscow.,Pavel Alekseevich Nekrasov was a Russian mathematician and a Rector of the Imperial University of Moscow.,E,Alexander Nekrasov may refer to  19251944 Soviet army officer and Hero of the Soviet Union  Alexander Nekrasov politician born 1963 Russian politician  born 1963 Russian foutballer
139,139,When was Langley East first contested in a provincial election?,Langley East was first contested in the 2015 provincial election.,Langley East was first contested in the 2016 provincial election.,Langley East was first contested in the 2014 provincial election.,Langley East was first contested in the 2017 provincial election.,Langley East was first contested in the 2013 provincial election.,D,Langley East is a provincial electoral district for the Legislative Assembly of British Columbia Canada that was created in the 2015 redistribution from parts of Fort LangleyAldergrove and Langley. It was first contested in the 2017 election. History Assembly Years Member Party Fort LangleyAldergrove Fort LangleyAldergrove Fort LangleyAldergrove Fort LangleyAldergrove Fort LangleyAldergrove 35th 19911996 Gary FarrellCollins Liberal 36th 19962001 Rich Coleman Liberal 37th 20012005 Rich Coleman Liberal 38th 20052009 Rich Coleman Liberal 39th 20092013 Rich Coleman Liberal 40th 20132017 Rich Coleman Liberal Langley East Langley East Langley East Langley East Langley East 41st 20172020 Rich Coleman Liberal 42nd 2020current Megan Dykeman New Democratic Election results  External links  HiRes Map pdf References CategoryLangley British Columbia district municipality
140,140,What recognition did Kallupurackal Thomas Thomas receive from the Indian government in 2007?,Kallupurackal Thomas Thomas was awarded the Padma Bhushan by the Indian government in 2007 for his services in the field of social affairs.,Kallupurackal Thomas Thomas was awarded the Padma Bhushan by the Indian government in 2007 for his services in the field of education.,Kallupurackal Thomas Thomas was awarded the Padma Vibhushan by the Indian government in 2007 for his contributions in the field of jurisprudence.,Kallupurackal Thomas Thomas was awarded the Padma Shri by the Indian government in 2007 for his contributions in the field of literature.,Kallupurackal Thomas Thomas was awarded the Bharat Ratna by the Indian government in 2007 for his services in the field of social affairs.,A,Kallupurackal Thomas Thomas born 30 January 1937 is an Indian former judge who served on the Supreme Court of India and is known for his strong opinions on Indian sociopolitical matters. He was awarded the Padma Bhushan by the Indian government in 2007 for services in the field of social affairs. Biography K. T. Thomas was born in Kottayam district on 30 January 1937. After schooling at Baker Memorial School he completed his PreUniversity course from CMS College Kottayam and B.A. at St. Alberts College Ernakulam where he served as the College Union Chairman. He studied law at Madras Law College.Justice K.T. Thomas He enrolled as an advocate in 1960 and started his career in Kottayam as a junior advocate to Joseph Maliakal a leading lawyer of those days. Soon he set up his private practice at District Court Kottayam and later at the High Court of Kerala. In 1977 he was directly selected as District and Sessions Judge securing first rank in the selection tests. He was promoted as a Judge of the High Court of Kerala in 1985 and served as the Acting Chief Justice in 1995. In 1996 he was appointed as a Judge of the Supreme Court of India. During his practice as an
141,141,Which baronys in Ireland does the townland and former estate of Roebuck belong to?,Uppercross and Rathdown,"Dublin, Uppercross, and Rathdown",Dublin and Rathdown,"Dublin, Uppercross, and Rathmines",Dublin and Uppercross,B,Baronies Act 1837 1 Vict. c.82 The baronies of Iveagh Muskerry and Connello were each subdivided twice Upper and Lower Iveagh each have Upper and Lower Halves East and West Muskerry each have East and West Divisions the western divisions split from Upper and Lower Connello were named Shanid and Glenquin respectively. When County Tipperary was split into North and South Ridings in 1838 the barony of Kilnamanagh was split into Upper and Lower halfbaronies. At the Reformation the parishes for civil purposes were the ecclesiastical parishes of the established Church of Ireland. Originally each parish was usually within a single barony but less so over time. A townland might be an exclave of a parish and potentially of its barony under the Valuation of Lands Ireland Act 1836 detached parts of baronies were annexed to an adjacent barony but not so for parishes. The rationalisation of small ecclesiastical parishes into larger benefices sometimes entailed merging the corresponding civil parishes which might thus cross barony and county boundaries. Peculiar districts Many towns had a specific royal charter granting them borough status similar to English law. These
142,142,What is an acrolith?,It is a type of statues made exclusively from gilded wood.,It is a unique statue made entirely of limestone.,It is a common stone sculpture depicting clothed figures.,It is a composite sculpture consisting of stone and other materials such as wood or inferior stone.,"It is a type of sculpture made from wood and inferior stone, with marbled clothed parts and wooden head, hands, and feet.",D,ACAC or acac may refer to  Acetylacetonate acac a ligand in coordination chemistry derived from acetylacetone  ACAC consortium a subsidiary of China Aviation Industry Corporation  Alberta Colleges Athletics Conference the governing body for collegiate sports in Alberta Canada  Amador County Arts Council the official Amador County US arts council  Allen County Athletic Conference High School conference in Indiana US  Atlanta Contemporary Art Center a contemporary art museum in Atlanta
143,143,"Who is the owner and operator of WCVA, a broadcast radio station in Virginia?",Clear Channel Communications,Sinclair Broadcast Group,ViacomCBS,E.W. Scripps Company,"Piedmont Communications, Inc.",E,WCVA is a broadcast radio station licensed to Culpeper Virginia serving Culpeper and Culpeper County Virginia. WCVA is owned and operated by Piedmont Communications Inc. and simulcasts the classic hits format of sister station 105.5 WOJL Louisa. Prior to February 2016 it had aired a satellitefed adult standards format. Translator In early 2016 WCVAs programming began airing on 95.3 W237CA an FM translator that had been purchased by Piedmont from Liberty University. References External links   Category1949 establishments in Virginia CategoryClassic hits radio stations in the United States CategoryRadio stations established in 1949 CVA
144,144,What is the color of the light emitted from the metal-halide lamp used in LCD projectors?,Yellow,Blue,White,Green,Red,C,standards establish parameters for all metalhalide components with the exception of some newer products. Color temperature thumbaltLine graph of relative intensity vs wavelength Output spectrum of a typical metalhalide lamp showing peaks at 385nm 422nm 497nm 540nm 564nm 583nm highest 630nm and 674nm. Because of the whiter and more natural light generated metalhalide lamps were initially preferred to the bluish mercury vapor lamps. With the introduction of specialized metalhalide mixtures metalhalide lamps are now available with a correlated color temperature from 3000 K to over 20000 K. Color temperature can vary slightly from lamp to lamp and this effect is noticeable in places where many lamps are used. Because the lamps color characteristics tend to change during lamps life color is measured after the bulb has been burned for 100 hours seasoned according to ANSI standards. Pulse start metal halide lamps have improved color rendering and provided a more controlled kelvin variance 100 to 200 kelvins. The color temperature of a metalhalide lamp can also be affected by the electrical characteristics of the electrical system powering the bulb and
145,145,"What is the main characteristic of ""The Heart of Johnny Cash"" album?","""The Heart of Johnny Cash"" is an album consisting solely of new songs written by Johnny Cash.","""The Heart of Johnny Cash"" is an album that includes a reimagined version of the song ""Girl in Saskatoon"".","""The Heart of Johnny Cash"" is a live album recorded during one of his concerts in 1968.","""The Heart of Johnny Cash"" is a compilation album featuring tracks from various albums released throughout his career.","""The Heart of Johnny Cash"" is a album that was exclusively available for purchase through television marketing sales.",E,    Now Heres Johnny Cash Tennessee Flat Top Box bw Tall Men 11 84     50  Ring of Fire The Best of Johnny Cash         1962 The Big Battle bw When Ive Learned 24        Ring of Fire The Best of Johnny Cash         Hymns from the Heart Blue Train bw Born to Lose         All Aboard the Blue Train with Johnny Cash Original Sun Sound of Johnny Cash In the Jailhouse Now 8        The Sound of Johnny Cash Bonanza bw Pick a Bale o Cotton  94       Ring of Fire The Best of Johnny Cash         Therell Be Peace in the Valley bw Were You There When They Crucified My Lord         Ring of Fire The Best of Johnny Cash Busted with The Carter Family 13        Blood Sweat and Tears 1963 Ring of Fire bw Id Still Be There 1 17     12   RIAA Gold  BPI Platinum Ring of Fire The Best of Johnny Cash The Matador bw Still in Town 2 44     39  Old Golden Throat 1964 Understand Your Man  Dark as a Dungeon 1 35     50  I Walk the Line 49 119       Old Golden Throat Wide Open Road bw Belshazzar         Original Sun Sound of Johnny Cash
146,146,When did Legoland Dubai open?,October 2016,October 2020,Legoland Dubai is still under construction.,October 2011,October 2017,A,park had been finalized the first of its kind. It will include 17 rides and attractions on a development. It will also comprise nine retail outlets on an area of . Over 40 food and beverage outlets including carts merchandising light refreshments will be developed over . On 6 May 2008 Tatweer announced a strategic alliance with Merlin Entertainments Group to build a Legoland park in Dubailand. The project will cost Dh912 million occupy a total of  and will feature more than 40 interactive rides shows and attractions geared towards families with children ages 2 to 12. At this point Dubai Properties Group took over Dubailand from Tatweer. United States companies Six Flags and DreamWorks dropped out of their projects losing interest in the site. In September 2012 Dubai Properties Group announced the revival of the Mudon residential community project estimating the completion of the project at around 18 months. Construction on the site resumed in early 2013 with the 72000 squaremeter Dubai Miracle Gardens opening at the beginning of March. The adjacent 2600 squaremeter Dubai Butterfly Garden opened in 2015. In October 2016 Legoland Dubai was opened at Dubai Parks and
147,147,"What was Buckingham Nicks, the studio album by Lindsey Buckingham and Stevie Nicks, released by Polydor Records known for?",Buckingham Nicks was known for its groundbreaking use of synthesizers and electronic instruments in rock music. ,"Buckingham Nicks was known for featuring a variety of guest musicians from different genres, including jazz and classical.",Buckingham Nicks was known for its controversial and provocative lyrics that pushed the boundaries of rock music.,Buckingham Nicks was known for showcasing the duo's unique vocal harmonies and folk-influenced songwriting style.,Buckingham Nicks was known for being the first album co-produced by Lindsey Buckingham and Stevie Nicks themselves.,D,Buckingham Nicks is the only studio album by the duo of American rock guitarist Lindsey Buckingham and singer Stevie Nicks both of whom later joined Fleetwood Mac. Produced by Keith Olsen the album was released in September 1973 by Polydor Records. The album was a commercial failure on its original release and despite the duos subsequent success it has yet to be commercially remastered or rereleased digitally. Background Prior to recording the album Buckingham Nicks Lindsey Buckingham and Stevie Nicks performed together in the band the Fritz Rabyne Memorial Band. The pair met while they were both attending MenloAtherton High School in Atherton California south of San Francisco. At the time Nicks was a senior in high school and Buckingham one year younger than she was a junior. According to Nicks they first met at a casual afterschool Young Life gathering in 1966. Nicks and Buckingham found themselves harmonizing to what some accounts claim was a Beach Boys song although Nicks herself claims they sang California Dreamin a hit single by the Mamas and the Papas in an interview she gave with The Source in 1981. Nevertheless Nicks and Buckingham did not
148,148,What is the primary source of water for Wangumbaug Lake?,The lake is primarily fed by underground springs and groundwater sources.,The lake is primarily fed by rainfall and precipitation runoff from the surrounding residential and agricultural areas.,"The lake is primarily fed by meltwater from a retreating glacier that formed the lake 13,000 years ago.","The lake is primarily fed by water from Coventry Lake Brook, a natural outlet that flows into the Willimantic River.",The lake is primarily fed by water transported from nearby rivers and streams through a complex network of canals.,A,Qilu Lake  is a plateau lake in Yunnan Province in southwestern China. The lake has a total area of about 36.86 square kilometers. The average depth is 4.03 m with an elevation of 1796.75 m. the water storage capacity is about 1.486108m3. The lake is named after the Qilu mountain nowadays called Xiushan directly south of Tonghai county seat. During the Yuan dynasty the lake used to be larger and reach up to the base of this mountain. The lake has no outlet rivers but water can leave the area through karst caves. It has a rich aquatic life supporting a large population of shrimp carp black carp herring and catfish.History kunming.cn According to local legend the area around the lake used to be flooded and was called Tonghai. A monk used a shippei to make a hole in the lake bed and allow water to flow out. In the 20th century the lake size was reduced due to soil erosion and land reclamation as well as the lake becoming polluted. Since the 1990s measures have been taken to reverse this. Notes CategoryLakes of Yunnan CategoryGeography of Yuxi
149,149,"Who was the designer of the Tashmoo, a classic wooden passenger steamship built in 1900?",Tashmoo,None of the above,Michigan,Jenks,Port Huron,D,Tashmoo was the name of two steamships  a sidewheeler steamboat that operated between 1899 and 1936 on Great Lakes  a Design 1023 ship that later served in the Imperial Japanese Navy during World War II as Takusei Maru CategoryShip names
150,150,Which family does Asparagus prostratus belong to?,Poaceae,Asparagaceae,Rosaceae,Fabaceae,Asteraceae,B,Asparagus prostratus also known as wild asparagus is a species of flowering plant from the genus Asparagus and family Asparagaceae. It has been placed onto the UK Biodiversity Action Plan list of priority species.  Description  A. prostratus is a perennial species. It has a prostrate growth habit and needle like leaves that can reach up to 2.4 cm long. A. prostratus stems grow from rhizomes. It produces small yellow bellshaped flowers. Berries start off green and begin to turn red between July and October. The berries are toxic to humans and cause diarrhoea and vomiting.  Reproduction  A. prostratus is a dioecious species with plants being either male or female. Colonies of this species therefore require both male and female plants for successful sexual reproduction. Plants will flower from May and June. Flowers are pollinated by insects. Once pollinated plants will produce berries. Berries are eaten by animals such as birds which help disperse the seeds. A. prostratus can also clone itself asexually. Stems sprout from rhizomes that spread horizontally beneath the soil which helps the plant reproduce through vegetative reproduction. This allows the species to
151,151,In what political party did Thomas Wakem Caldwell serve during his time as a Member of Parliament?,Liberal Party,United Farmers then Progressive Party,Bloc Québécois,New Democratic Party,Conservative Party,B,Thomas Wakem Caldwell May 2 1867  March 14 1937 was a farmer and political figure in New Brunswick Canada. He represented VictoriaCarleton in the House of Commons of Canada from 1919 to 1925 as a United Farmers then Progressive Party Member of Parliament. Biography He was born in Florenceville New Brunswick the son of Andrew Cunningham Caldwell and Margaret Wakem and after completing his education became a farmer there. Caldwell was married twice to Annie Abeldt in 1892 and later to Melissa Haladay. He was president of the United Farmers of New Brunswick and served on the executive board of the Farmers Cooperative Company of New Brunswick. Caldwell was first elected to the House of Commons in a 1919 byelection held after Frank Broadstreet Carvell was named chairman of the Board of Railway Commissioners. He was defeated when he ran for reelection in 1925. Caldwell went to England as a farm delegate to protest an embargo on Canadian potatoes. He died in Ottawa at the age of 69. References CategoryMembers of the House of Commons of Canada from New Brunswick CategoryProgressive Party of Canada MPs Category1867 births Category1937 deaths
152,152,"What can be said about the 71st (Forth) Heavy Anti-Aircraft Regiment, Royal Artillery based on its history?","The 71st (Forth) Heavy Anti-Aircraft Regiment, Royal Artillery was primarily an infantry unit formed in Scotland just before World War II.","The 71st (Forth) Heavy Anti-Aircraft Regiment, Royal Artillery was dissolved and disbanded at the start of World War II.","The 71st (Forth) Heavy Anti-Aircraft Regiment, Royal Artillery played a significant role in the Battle of Britain during World War II.","The 71st (Forth) Heavy Anti-Aircraft Regiment, Royal Artillery exclusively served in the European theater during World War II.","The 71st (Forth) Heavy Anti-Aircraft Regiment, Royal Artillery's successors continue to be active within the British Army Reserve as part of the Royal Logistic Corps.",E,71st Heavy AntiAircraft Regiment may refer to  71st Heavy AntiAircraft Regiment Royal Artillery a Regular British Army unit formed in 1947  71st Forth Heavy AntiAircraft Regiment Royal Artillery a Scottish Territorial Army unit formed in 1938
153,153,Which shopping mall in British Columbia is the largest in the Lower Mainland south of the Fraser River?,Guildford Town Centre in Surrey,Tsawwassen Mills in Delta,Park Royal Shopping Centre in West Vancouver,Metropolis at Metrotown in Burnaby,Central City Shopping Centre in Surrey,A,April 2 2011 before renovations. Arbys can also be seen. FileAllinstalled...7009256547.jpgThe new upgraded time capsule installed on March 19 2012. WilliamsSonoma can be seen. Expansion plans CF Chinook Centre is currently working on designs to add 2.3 million square feet of retail and mixeduse space. See also  List of largest shopping malls in Canada  List of shopping malls in Canada References  External links   CategoryShopping malls in Calgary CategoryShopping malls established in 1960 CategoryCadillac Fairview
154,154,What are the primary educational facilities in the village of Bakuliha in India?,Bakuliha hosts a weekly market and a primary school.,Bakuliha has two primary schools and a college.,Bakuliha has four primary schools and no healthcare facilities.,Bakuliha is home to a university and several research institutions.,Bakuliha does not have any educational facilities or healthcare services.,C,Bakuliha is a village in Khiron block of Rae Bareli district Uttar Pradesh India. It is located 16 km from Lalganj the tehsil headquarters. As of 2011 it has a population of 4244 people in 768 households. It has 4 primary schools and no healthcare facilities and it does not host a weekly haat or a permanent market. It serves as the headquarters of a nyaya panchayat which also includes 7 other villages. The 1951 census recorded Bakuliha as comprising 2 hamlets with a total population of 1241 people 654 male and 587 female in 43 households and 41 physical houses. The area of the village was given as 103 acres. 115 residents were literate 109 male and 6 female. The village was listed as belonging to the pargana of Khiron and the thana of Dalmau. The 1961 census recorded Bakuliha as comprising 6 hamlets with a total population of 1574 people 809 male and 765 female in 265 households and 246 physical houses. The area of the village was given as 1226 acres. The 1981 census recorded Bakuliha as having a population of 2126 people in 399 households and having an area of 506.76 hectares. The main staple foods were given as wheat and rice. The 1991 census recorded
155,155,What political positions did Jacques René Chirac hold during his career?,Jacques René Chirac was the President of France from 1995 to 2007.,Jacques René Chirac served as Prime Minister of France from 1974 to 1976 and from 1986 to 1988.,Jacques René Chirac served as both Prime Minister of France and Mayor of Paris simultaneously.,Jacques René Chirac held no political positions during his career.,Jacques René Chirac was the Mayor of Paris from 1977 to 1995.,B,Jacques Ren Chirac    29 November 193226 September 2019 was a French politician who served as President of FranceHe was ex officio CoPrince of Andorra from 1995 to 2007. Chirac was previously Prime Minister of France from 1974 to 1976 and from 1986 to 1988 as well as Mayor of Paris from 1977 to 1995. After attending the  Chirac began his career as a highlevel civil servant entering politics shortly thereafter. Chirac occupied various senior positions including Minister of Agriculture and Minister of the Interior. In 1981 and 1988 he unsuccessfully ran for president as the standardbearer for the conservative Gaullist party Rally for the Republic. Chiracs internal policies initially included lower tax rates the removal of price controls strong punishment for crime and terrorism and business privatisation.Privatization Is Essential Chirac Warns Socialists Resisting Global Currents France Sticks to Being French  International Herald Tribune. After pursuing these policies in his second term as prime minister he changed his views. He argued for different economic policies and was elected president in 1995 with 52.6 of the vote in the second round beating
156,156,"What elevation was discovered for Timms Hill, the highest natural point in the U.S. state of Wisconsin?",Less than 1 mile (1.6 km) south of Highway 86,"1,951.5 ft (595 m)",Located in Timms Hill County Park in the Town of Hill in Price County,23 miles (37 km) west of Tomahawk,Surveyed by Quentin Stevens of Ogema Telephone Co in 1962,B,Timms Hill or Timms Hill is the highest natural point in the U.S. state of Wisconsin and is located in northcentral Wisconsin in Timms Hill County Park in the Town of Hill in Price County. After being surveyed by Quentin Stevens of Ogema Telephone Co in 1962 Timms Hill was discovered to have an elevation of . It is less than south of Highway 86 about midway between Ogema and Spirit and about west of Tomahawk.Department of TransportationPrice County  Description  Timms Hill is located in Timms Hill County Park. A public lookout tower is atop the hill. Visible to the southeast is Rib Mountain elev. 1924 ft 586 m 44 miles away by line of sight. The Timms Hill Trail connects to the Ice Age TrailTimms Hill Trail Web Site a National Scenic Trail stretching across glacial terrain in Wisconsin.thumbThe tower at the top of Timms Hill. See also List of U.S. states by elevation  References  External links     CategoryHills of Wisconsin CategoryLandmarks in Wisconsin CategoryLandforms of Price County Wisconsin CategoryHighest points of U.S. states
157,157,What is Mikhail Yurievich Segal known for?,"Mikhail Yurievich Segal is a prominent Russian mathematician, known for his contributions to the field of number theory and his groundbreaking theorems.","Mikhail Yurievich Segal is a respected Russian film director and writer, well-known for his artistic contributions to the film industry.","Mikhail Yurievich Segal is a distinguished Russian politician, recognized for his role in diplomatic negotiations and international affairs.","Mikhail Yurievich Segal is a renowned Russian opera singer, known for his powerful tenor voice and critically acclaimed performances in operatic productions.","Mikhail Yurievich Segal is a celebrated Russian football player, renowned for his exceptional skills as a striker and his numerous goals in international tournaments.",B,Mikhail Yurievich Segal  is a Russian film director and writer. Biography Mikhail grew up in Oryol Russia. As a schoolboy he was attending a theatrical studio at the local House of Pioneers a USSR name for Technical and Fine Arts Club for children writing plays and staging performances. By that time he shot his first shortlength works with amateur cameras. In 1994 he graduated from Director Faculty of Oryol Institute of Culture V.I. Simonenkos chair. He was composing poems and songs and performing with his band Music To The Touch. In 1995 he entered Director Department of Russian State Institute for Cinematography VGIK in Moscow V. Naumovs chair but dropped studies after the first year and started shooting video clips. His first appreciable work had become Hello Night for Serga 1996. Later on Mikhail worked both with pop and rock performers but gained reputation of an anticheapstuff clip maker as a result. Amongst his wellknown works are  B2My RocknRoll  Spleen Romance Tell New People Plastic Life  Nogu Svelo Our Young and Funny Voices From AlmaAty  The Caste Noise is Around Radio Signals Closed
158,158,How long did Augusto Aurelio Fábrega Donado serve as Panamanian Ambassador to Russia?,Augusto Aurelio Fábrega Donado served as Panamanian Ambassador to Russia from 2005 to 2010.,Augusto Aurelio Fábrega Donado served as Panamanian Ambassador to Russia from 2005 to 2007.,Augusto Aurelio Fábrega Donado served as Panamanian Ambassador to Russia from 2005 to 2008.,Augusto Aurelio Fábrega Donado served as Panamanian Ambassador to Russia from 2005 to 2009.,Augusto Aurelio Fábrega Donado served as Panamanian Ambassador to Russia from 2005 to 2006.,D,thumbFbrega Donado presents his credentials to Vladimir Putin in February 2006. Augusto Aurelio Fbrega Donado born September 10 1940 is a retired Panamanian diplomat who formerly served as Panamanian Ambassador to Russia from 2005 to 2009.  Biography  Augusto Aurelio Fbrega Donado was born on September 10 1940 in Aguadulce Panama. After working as an elementary school teacher he went to the Soviet Union to study and graduated from the Peoples Friendship University of Russia. In 2006 he was chosen to serve as Panamanian Ambassador to Russia. He presented his credentials to Russian President Vladimir Putin on 3 February 2006. See also PanamaRussia relations References CategoryLiving people CategoryAmbassadors of Panama to Russia CategoryPanamanian diplomats CategoryPeoples Friendship University of Russia alumni Category1940 births
159,159,When were the SMS Karlsruhe and Rostock commissioned into the German Imperial Navy?,"March 1915 and April 1915, respectively.","January 1914 and February 1914, respectively.","November 1912 and December 1912, respectively.","January 1916 and February 1916, respectively.","December 1913 and January 1914, respectively.",B,Several naval ships of Germany were named Karlsruhe after the city of Karlsruhe Germany   World War I German light cruiser launched 1912   light cruiser launched 1916   7200 ton light cruiser sunk World War II    launched 1957 decommissioned 1983   Type 122 frigate launched 1982 decommissioned 2017 CategoryGerman Navy ship names
160,160,"Who was Charles Baker (1803–1874), known for in history?",Charles Baker was a prominent scientist recognized for his discoveries in the field of physics.,Charles Baker was a famous explorer admired for his expeditions to uncharted territories.,Charles Baker was an English instructor of the deaf noted for writing early school text books suitable for deaf children.,Charles Baker was a renowned mathematician known for his contributions to number theory.,Charles Baker was an acclaimed novelist recognized for his groundbreaking work in British literature.,C,William Baker April 14 1795  November 6 1871 was an American lawyer and politician. Life Baker was born April 14 1795 in Minden Montgomery County New York the son of Thomas and Mary Baker. At the age of 22 he moved to Springfield Otsego County New York to study law. In January 1826 he married Delia Bianca Crain of Warren Herkimer County New York. Her father was Rufus Crain a prominent local physician and her brother William C. Crain was Assembly Speaker in 1846. Baker was a member of the New York State Assembly Otsego Co. in 1830 1833 and 1834 and was Speaker in 1834. On May 25 1836 he was appointed a Canal Commissioner and served until the removal of all Democratic commissioners by the newly elected Whig majority in the State Legislature in February 1840. After his time in politics he moved to Utica where in 1845 he was chosen the first Recorder of the City i.e. Deputy Mayor and City Judge. He was well known for his expertise in patent law. Baker died on November 6 1871 at his home in Utica Oneida County New York and was interred in Forest Hill Cemetery in Utica. Sources History of Political Parties in the State of NewYork by John
